,Std3,Std2,Mean2,Std1,PToP1,PToP4,PToP2,Std4,Kurtosis1,Kurtosis4
0,0.0,0.0,1.0,10.966137614281328,3.0,8.0,2.0,10.03736347285787,-0.4599339127394555,-0.5127567833212927
0,0.0,0.0,1.0,11.030374959581707,3.0,8.0,2.0,10.126602356349593,-0.4569677738568698,-0.516286597234759
0,0.0,0.0,1.0,11.085608720453601,3.0,8.0,2.0,10.190284804026478,-0.4544279648772833,-0.5097535279959446
0,0.0,0.0,1.0,11.14094418883997,3.0,8.0,2.0,10.278042290316248,-0.4515546285572034,-0.5056151476487849
0,0.0,0.0,1.0,11.196919280638737,3.0,8.0,2.0,10.333793004230612,-0.4582141141887943,-0.5184750877657187
0,0.0,0.0,1.0,11.254340248884784,3.0,8.0,2.0,10.420406162011345,-0.4613371896811458,-0.5190328569347553
0,0.0,0.0,1.0,11.326515792483443,3.0,8.0,2.0,10.535821810177762,-0.46063947559827456,-0.520372352205372
0,0.0,0.0,1.0,11.369147372076672,3.0,8.0,2.0,10.59538613538268,-0.46651034465236263,-0.5340078606617089
0,0.0,0.0,1.0,11.409263338211217,3.0,8.0,2.0,10.683075409417086,-0.46771919044091614,-0.5414304897638718
0,0.0,0.0,1.0,11.469332867806783,3.0,8.0,2.0,10.796412162139411,-0.47471992025400356,-0.5554952426586715
0,0.0,0.0,1.0,11.517520376566786,3.0,8.0,2.0,10.8548214780929,-0.47809193144808226,-0.5614182818026245
0,0.0,0.0,1.0,11.588841159733622,3.0,8.0,2.0,10.96654245631355,-0.47965389499168065,-0.5706272395791778
